"Date","Price","Open","High","Low","Vol.","Change %"
"04/17/2019","9,037.7","9,159.0","9,159.0","8,916.4","706.30K","-0.67%"
"04/16/2019","9,098.4","9,068.0","9,128.7","8,886.1","971.40K","-0.33%"
"04/12/2019","9,128.7","9,128.7","9,219.7","9,098.4","298.50K","-0.99%"
"04/11/2019","9,219.7","9,280.3","9,280.3","9,128.7","281.36K","0.00%"
"04/10/2019","9,219.7","9,159.0","9,219.7","9,037.7","887.96K","0.66%"
"04/09/2019","9,159.0","9,341.0","9,341.0","9,098.4","950.96K","-1.31%"
"04/08/2019","9,280.3","9,280.3","9,401.6","9,219.7","729.43K","0.33%"
"04/05/2019","9,250.0","9,401.6","9,462.3","9,250.0","699.69K","-0.97%"
"04/04/2019","9,341.0","9,280.3","9,492.6","9,189.4","1.41M","1.65%"
"04/03/2019","9,189.4","9,098.4","9,189.4","9,037.7","755.34K","1.00%"
"04/02/2019","9,098.4","9,310.7","9,310.7","9,098.4","847.22K","-1.32%"
"04/01/2019","9,219.7","9,250.0","9,371.3","9,189.4","1.11M","-0.33%"
"03/29/2019","9,250.0","9,492.6","9,492.6","9,219.7","1.75M","-0.97%"
